Allocation,Patron Department,Patron Email,Renewal Count,Actual Start,Scheduled End,Actual End,Duration,Resource Count,Summary
2867825,,@fixture.edu,0,10/10/2024 12:24 PM,10/11/2024 9:30 PM,10/11/2024 7:34 PM,112200,7,Returned: RODE WIRELESS MIC - RODE WIRELESS-100000 | NIKON Z6 III BATTERY CHARGER - NIKON Z6III CHRG-100001 | PANASONIC S5 II BATTERY CHARGER - PANA S5II CHRG-100002 | NIKON Z6 III BATTERY CHARGER - NIKON Z6III CHRG-100003 | META QUEST CHARGING CABLE - MQUEST CABLE-100004 | LAPTOP SLEEVE CASE - LAPTOP SLEEVE-100005 | INSTA360 X4 CASE - INSTA X4 CASE-100006 | 
1419610,,@fixture.edu,0,10/17/2024 12:32 PM,10/22/2024 9:30 PM,10/22/2024 1:16 PM,434640,7,Returned: USB-C MULTIPORT HUB - USBC HUB-100007 | LEXAR 128GB CF CARD - LEXAR CF128-100008 | HDMI CABLE 10FT - HDMI10-100009 | PANASONIC S5 II BATTERY CHARGER - PANA S5II CHRG-100010 | ZOOM H5 RECORDER CASE - ZOOM H5 CASE-100011 | EXTENSION CORD 10FT - EXTCORD10-100012 | CARD READER - CARDRDR-100013 | 
5614226,,@fixture.edu,0,10/22/2024 4:48 PM,10/29/2024 9:30 PM,10/29/2024 1:13 PM,591900,7,Returned: ZOOM H5 RECORDER - ZOOM H5-100014 | FUJIFILM 18-55mm LENS - FUJI 1855 LENS-100015 | XLR CABLE 15FT - XLR15-100016 | EQUIPMENT CRATE 12x12 - CRATE12-100017 | BENQ DATA PROJECTOR - BENQ PROJ-100018 | META QUEST HEADSET - MQUEST HS-100019 | XLR CABLE 25FT - XLR25-100020 | 
5108603,,@fixture.edu,0,10/31/2024 8:35 AM,11/01/2024 9:30 PM,12/06/2024 5:10 PM,3141300,8,Returned: INSTA360 X4 BATTERY - INSTA X4 BATT-100021 | MACBOOK AIR CHARGING CABLE - MBA CABLE-100022 | MACBOOK AIR CHARGING CABLE - MBA CABLE-100023 | META QUEST CONTROLLER - MQUEST CTRL-100024 | LAPTOP SLEEVE CASE - LAPTOP SLEEVE-100025 | LOGITECH WEBCAM - LOGI WEBCAM-100026 | EPSON PROJECTOR HDMI CABLE - EPSON PROJ HDMI-100027 | FUJIFILM X-T5 BODY - FUJI XT5-100028 | 
4744854,,@fixture.edu,0,11/07/2024 7:50 AM,11/08/2024 9:30 PM,11/07/2024 7:14 PM,41040,8,Returned: WACOM ONE TABLET - WACOM ONE-100029 | LOGITECH WIRELESS MOUSE - LOGI MOUSE-100030 | USB-C TO HDMI ADAPTER - USBC HDMI-100031 | RODE MIC BATTERY - RODE MIC BATT-100032 | FUJIFILM X-T5 BODY - FUJI XT5-100033 | GODOX LIGHT STAND - GODOX STAND-100034 | RODE WIRELESS MIC - RODE WIRELESS-100035 | WACOM ONE TABLET - WACOM ONE-100036 | 
3341057,,@fixture.edu,0,11/14/2024 10:20 AM,11/15/2024 9:30 PM,11/15/2024 7:28 PM,119280,8,Returned: DELL XPS LAPTOP - DELL XPS-100037 | GODOX POWER SUPPLY - GODOX PSU-100038 | ZOOM H5 RECORDER CASE - ZOOM H5 CASE-100039 | NIKON Z6 III BATTERY CHARGER - NIKON Z6III CHRG-100040 | CARD READER - CARDRDR-100041 | ZOOM H5 RECORDER CASE - ZOOM H5 CASE-100042 | INSTA360 X4 CASE - INSTA X4 CASE-100043 | MANFROTTO TRIPOD CASE - MANFRO CASE-100044 | 
2719583,,@fixture.edu,0,11/21/2024 9:08 AM,11/22/2024 9:30 PM,11/22/2024 8:08 PM,126000,8,Returned: INSTA360 X4 BATTERY - INSTA X4 BATT-100045 | INSTA360 X4 CAMERA - INSTA X4-100046 | FUJIFILM X-T5 BODY - FUJI XT5-100047 | GODOX LED LIGHT PANEL - GODOX LED-100048 | ZOOM H5 RECORDER CASE - ZOOM H5 CASE-100049 | LOGITECH WEBCAM - LOGI WEBCAM-100050 | GODOX POWER SUPPLY - GODOX PSU-100051 | INSTA360 X4 CAMERA - INSTA X4-100052 | 
2458591,,@fixture.edu,0,12/05/2024 9:02 AM,12/06/2024 9:30 PM,12/06/2024 5:12 PM,115800,8,Returned: OLYMPUS OM-D E-M1 BODY - OLY EM1-100053 | WACOM ONE TABLET - WACOM ONE-100054 | EXTENSION CORD 10FT - EXTCORD10-100055 | NIKON Z6 III BATTERY - NIKON Z6III BATT-100056 | NIKON Z6 III CAMERA CASE - NIKON Z6III CASE-100057 | EXTENSION CORD 10FT - EXTCORD10-100058 | XLR CABLE 15FT - XLR15-100059 | XLR CABLE 25FT - XLR25-100060 | 
8078673,,@fixture.edu,0,12/12/2024 7:58 AM,12/13/2024 9:30 PM,12/12/2024 4:32 PM,30840,7,Returned: WACOM CINTIQ TABLET - WACOM CINTIQ-100061 | WACOM ONE TABLET - WACOM ONE-100062 | GODOX POWER SUPPLY - GODOX PSU-100063 | INSTA360 X4 CAMERA - INSTA X4-100064 | XLR CABLE 15FT - XLR15-100065 | HDMI CABLE 10FT - HDMI10-100066 | WACOM CINTIQ TABLET - WACOM CINTIQ-100067 | 
1533224,,@fixture.edu,0,10/02/2024 1:47 PM,10/02/2024 6:45 PM,10/02/2024 7:10 PM,19380,50,Returned: USB-C MULTIPORT HUB - USBC HUB-100068 | XLR CABLE 25FT - XLR25-100069 | GODOX LED LIGHT PANEL - GODOX LED-100070 | LEXAR 128GB CF CARD - LEXAR CF128-100071 | FUJIFILM 18-55mm LENS - FUJI 1855 LENS-100072 | BENQ DATA PROJECTOR - BENQ PROJ-100073 | MACBOOK AIR CHARGING CABLE - MBA CABLE-100074 | XLR CABLE 25FT - XLR25-100075 | USB-C TO HDMI ADAPTER - USBC HDMI-100076 | MANFROTTO TRIPOD - MANFRO TRIPOD-100077 | MANFROTTO TRIPOD - MANFRO TRIPOD-100078 | DELL XPS LAPTOP CHARGER - DELL XPS CHRG-100079 | INSTA360 X4 CASE - INSTA X4 CASE-100080 | MANFROTTO TRIPOD CASE - MANFRO CASE-100081 | META QUEST CONTROLLER - MQUEST CTRL-100082 | MACBOOK AIR CHARGING CABLE - MBA CABLE-100083 | FUJIFILM 18-55mm LENS - FUJI 1855 LENS-100084 | USB KEYBOARD - USB KYBD-100085 | DELL XPS LAPTOP CHARGER - DELL XPS CHRG-100086 | META QUEST HEADSET - MQUEST HS-100087 | DELL XPS LAPTOP CHARGER - DELL XPS CHRG-100088 | FUJIFILM X-T5 BODY - FUJI XT5-100089 | GODOX POWER SUPPLY - GODOX PSU-100090 | USB KEYBOARD - USB KYBD-100091 | RODE MIC BATTERY - RODE MIC BATT-100092 | ZOOM H5 RECORDER CASE - ZOOM H5 CASE-100093 | NIKON Z6 III CAMERA CASE - NIKON Z6III CASE-100094 | USB-C MULTIPORT HUB - USBC HUB-100095 | META QUEST HEADSET - MQUEST HS-100096 | USB KEYBOARD - USB KYBD-100097 | EPSON PROJECTOR HDMI CABLE - EPSON PROJ HDMI-100098 | META QUEST CHARGING CABLE - MQUEST CABLE-100099 | GODOX LED LIGHT PANEL - GODOX LED-100100 | POWER STRIP - PWRSTRIP-100101 | MACBOOK AIR CHARGING CABLE - MBA CABLE-100102 | FUJIFILM 18-55mm LENS - FUJI 1855 LENS-100103 | SANDISK 64GB SD CARD - SANDISK 64SD-100104 | OLYMPUS OM-D E-M1 BODY - OLY EM1-100105 | POWER STRIP - PWRSTRIP-100106 | NIKON Z6 III BATTERY - NIKON Z6III BATT-100107 | USB-C TO HDMI ADAPTER - USBC HDMI-100108 | XLR CABLE 15FT - XLR15-100109 | LOGITECH WEBCAM - LOGI WEBCAM-100110 | USB-C TO HDMI ADAPTER - USBC HDMI-100111 | WACOM ONE TABLET - WACOM ONE-100112 | FUJIFILM X-T5 BODY - FUJI XT5-100113 | RODE MIC BATTERY - RODE MIC BATT-100114 | INSTA360 X4 CASE - INSTA X4 CASE-100115 | EPSON PROJECTOR HDMI CABLE - EPSON PROJ HDMI-100116 | LAPTOP SLEEVE CASE - LAPTOP SLEEVE-100117 | 
